config,removed_type,removed_operator,instance,seed,profit,vs_baseline_pct
baseline,-,-,skillvrp_n100_v2_s5_k1.0_3.txt,0,3017,0.0
baseline,-,-,skillvrp_n100_v2_s5_k1.0_3.txt,1,3006,0.0
baseline,-,-,skillvrp_n450_v11_s3_k0.0_11.txt,0,14626,0.0
baseline,-,-,skillvrp_n450_v11_s3_k0.0_11.txt,1,14641,0.0
baseline,-,-,skillvrp_n1000_v25_s8_k2.0_20.txt,0,36884,0.0
baseline,-,-,skillvrp_n1000_v25_s8_k2.0_20.txt,1,37542,0.0
no_random_removal,destroy,random_removal,skillvrp_n100_v2_s5_k1.0_3.txt,0,3006,-0.36
no_random_removal,destroy,random_removal,skillvrp_n100_v2_s5_k1.0_3.txt,1,3050,1.46
no_random_removal,destroy,random_removal,skillvrp_n450_v11_s3_k0.0_11.txt,0,14529,-0.66
no_random_removal,destroy,random_removal,skillvrp_n450_v11_s3_k0.0_11.txt,1,14558,-0.57
no_random_removal,destroy,random_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,0,36757,-0.34
no_random_removal,destroy,random_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,1,37289,-0.67
no_worst_density_removal,destroy,worst_density_removal,skillvrp_n100_v2_s5_k1.0_3.txt,0,3050,1.09
no_worst_density_removal,destroy,worst_density_removal,skillvrp_n100_v2_s5_k1.0_3.txt,1,3006,0.0
no_worst_density_removal,destroy,worst_density_removal,skillvrp_n450_v11_s3_k0.0_11.txt,0,14538,-0.6
no_worst_density_removal,destroy,worst_density_removal,skillvrp_n450_v11_s3_k0.0_11.txt,1,14679,0.26
no_worst_density_removal,destroy,worst_density_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,0,36683,-0.54
no_worst_density_removal,destroy,worst_density_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,1,37107,-1.16
no_skill_scarcity_removal,destroy,skill_scarcity_removal,skillvrp_n100_v2_s5_k1.0_3.txt,0,3050,1.09
no_skill_scarcity_removal,destroy,skill_scarcity_removal,skillvrp_n100_v2_s5_k1.0_3.txt,1,3006,0.0
no_skill_scarcity_removal,destroy,skill_scarcity_removal,skillvrp_n450_v11_s3_k0.0_11.txt,0,14469,-1.07
no_skill_scarcity_removal,destroy,skill_scarcity_removal,skillvrp_n450_v11_s3_k0.0_11.txt,1,14417,-1.53
no_skill_scarcity_removal,destroy,skill_scarcity_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,0,36331,-1.5
no_skill_scarcity_removal,destroy,skill_scarcity_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,1,36935,-1.62
no_related_removal,destroy,related_removal,skillvrp_n100_v2_s5_k1.0_3.txt,0,3031,0.46
no_related_removal,destroy,related_removal,skillvrp_n100_v2_s5_k1.0_3.txt,1,3001,-0.17
no_related_removal,destroy,related_removal,skillvrp_n450_v11_s3_k0.0_11.txt,0,14504,-0.83
no_related_removal,destroy,related_removal,skillvrp_n450_v11_s3_k0.0_11.txt,1,14695,0.37
no_related_removal,destroy,related_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,0,37254,1.0
no_related_removal,destroy,related_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,1,36793,-2.0
no_worst_detour_removal,destroy,worst_detour_removal,skillvrp_n100_v2_s5_k1.0_3.txt,0,2979,-1.26
no_worst_detour_removal,destroy,worst_detour_removal,skillvrp_n100_v2_s5_k1.0_3.txt,1,3002,-0.13
no_worst_detour_removal,destroy,worst_detour_removal,skillvrp_n450_v11_s3_k0.0_11.txt,0,14520,-0.72
no_worst_detour_removal,destroy,worst_detour_removal,skillvrp_n450_v11_s3_k0.0_11.txt,1,14408,-1.59
no_worst_detour_removal,destroy,worst_detour_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,0,37124,0.65
no_worst_detour_removal,destroy,worst_detour_removal,skillvrp_n1000_v25_s8_k2.0_20.txt,1,37017,-1.4
no_worst_detour_removal_v2,destroy,worst_detour_removal_v2,skillvrp_n100_v2_s5_k1.0_3.txt,0,3006,-0.36
no_worst_detour_removal_v2,destroy,worst_detour_removal_v2,skillvrp_n100_v2_s5_k1.0_3.txt,1,2958,-1.6
no_worst_detour_removal_v2,destroy,worst_detour_removal_v2,skillvrp_n450_v11_s3_k0.0_11.txt,0,14376,-1.71
no_worst_detour_removal_v2,destroy,worst_detour_removal_v2,skillvrp_n450_v11_s3_k0.0_11.txt,1,14538,-0.7
no_worst_detour_removal_v2,destroy,worst_detour_removal_v2,skillvrp_n1000_v25_s8_k2.0_20.txt,0,36447,-1.18
