iteration,elapsed_seconds,objective_value
0,0.0,2292
1,0.00023979204706847668,2296
2,0.0004836670123040676,2345
6,0.001620875089429319,2362
8,0.0021157499868422747,2402
9,0.0024100420996546745,2560
37,0.010789292049594223,2568
54,0.016650833073072135,2610
73,0.02460870798677206,2683
83,0.02833375008776784,2736
331,0.12146079202648252,2746
367,0.13522158307023346,2778
371,0.1384144170442596,2821
459,0.17652808304410428,2831
476,0.1831207500072196,2833
477,0.18328304204624146,2866
696,0.2549571670824662,2910
699,0.2565197499934584,2943
726,0.26641912502236664,2960
740,0.27241470804437995,2966
780,0.28461249999236315,2970
860,0.31088383309543133,2972
870,0.31410683307331055,2978
882,0.3180842080619186,2990
1456,0.5100885001011193,2997
1478,0.5182317080907524,3024
1645,0.5773919170023873,3032
6345,2.129190417006612,3033
6459,2.165642417035997,3040
30918,9.768326207995415,3041
87903,27.179760750033893,3050
