instance,seed,profit,checker_ok
skillvrp_n50_v2_s3_k0.0_1,1,1815,1
skillvrp_n50_v2_s3_k0.0_1,2,1815,1
skillvrp_n50_v2_s3_k0.0_1,3,1806,1
skillvrp_n50_v2_s3_k0.0_1,4,1806,1
skillvrp_n50_v2_s3_k0.0_1,5,1806,1
skillvrp_n50_v2_s3_k0.0_1,6,1806,1
skillvrp_n50_v2_s3_k0.0_1,7,1802,1
skillvrp_n50_v2_s3_k0.0_1,8,1802,1
skillvrp_n50_v2_s3_k0.0_1,9,1815,1
skillvrp_n50_v2_s3_k0.0_1,10,1796,1
skillvrp_n75_v2_s4_k0.5_2,1,2790,1
skillvrp_n75_v2_s4_k0.5_2,2,2790,1
skillvrp_n75_v2_s4_k0.5_2,3,2798,1
skillvrp_n75_v2_s4_k0.5_2,4,2784,1
skillvrp_n75_v2_s4_k0.5_2,5,2784,1
skillvrp_n75_v2_s4_k0.5_2,6,2786,1
skillvrp_n75_v2_s4_k0.5_2,7,2786,1
skillvrp_n75_v2_s4_k0.5_2,8,2777,1
skillvrp_n75_v2_s4_k0.5_2,9,2786,1
skillvrp_n75_v2_s4_k0.5_2,10,2784,1
skillvrp_n100_v2_s5_k1.0_3,1,2963,1
skillvrp_n100_v2_s5_k1.0_3,2,3006,1
skillvrp_n100_v2_s5_k1.0_3,3,3017,1
skillvrp_n100_v2_s5_k1.0_3,4,3002,1
skillvrp_n100_v2_s5_k1.0_3,5,3017,1
skillvrp_n100_v2_s5_k1.0_3,6,3030,1
skillvrp_n100_v2_s5_k1.0_3,7,3019,1
skillvrp_n100_v2_s5_k1.0_3,8,3032,1
skillvrp_n100_v2_s5_k1.0_3,9,3011,1
skillvrp_n100_v2_s5_k1.0_3,10,3041,1
skillvrp_n125_v3_s6_k1.5_4,1,4345,1
skillvrp_n125_v3_s6_k1.5_4,2,4314,1
skillvrp_n125_v3_s6_k1.5_4,3,4389,1
skillvrp_n125_v3_s6_k1.5_4,4,4304,1
skillvrp_n125_v3_s6_k1.5_4,5,4260,1
skillvrp_n125_v3_s6_k1.5_4,6,4372,1
skillvrp_n125_v3_s6_k1.5_4,7,4260,1
skillvrp_n125_v3_s6_k1.5_4,8,4277,1
skillvrp_n125_v3_s6_k1.5_4,9,4395,1
skillvrp_n125_v3_s6_k1.5_4,10,4434,1
skillvrp_n150_v3_s8_k2.0_5,1,4883,1
skillvrp_n150_v3_s8_k2.0_5,2,4877,1
skillvrp_n150_v3_s8_k2.0_5,3,4928,1
skillvrp_n150_v3_s8_k2.0_5,4,4871,1
skillvrp_n150_v3_s8_k2.0_5,5,4868,1
skillvrp_n150_v3_s8_k2.0_5,6,4883,1
skillvrp_n150_v3_s8_k2.0_5,7,4893,1
skillvrp_n150_v3_s8_k2.0_5,8,4882,1
skillvrp_n150_v3_s8_k2.0_5,9,4896,1
skillvrp_n150_v3_s8_k2.0_5,10,4883,1
skillvrp_n200_v5_s3_k0.0_6,1,7466,1
skillvrp_n200_v5_s3_k0.0_6,2,7436,1
skillvrp_n200_v5_s3_k0.0_6,3,7349,1
skillvrp_n200_v5_s3_k0.0_6,4,7487,1
skillvrp_n200_v5_s3_k0.0_6,5,7380,1
skillvrp_n200_v5_s3_k0.0_6,6,7456,1
skillvrp_n200_v5_s3_k0.0_6,7,7466,1
skillvrp_n200_v5_s3_k0.0_6,8,7368,1
skillvrp_n200_v5_s3_k0.0_6,9,7477,1
skillvrp_n200_v5_s3_k0.0_6,10,7472,1
skillvrp_n250_v6_s4_k0.5_7,1,10093,1
skillvrp_n250_v6_s4_k0.5_7,2,9890,1
skillvrp_n250_v6_s4_k0.5_7,3,9926,1
skillvrp_n250_v6_s4_k0.5_7,4,9933,1
skillvrp_n250_v6_s4_k0.5_7,5,9968,1
skillvrp_n250_v6_s4_k0.5_7,6,9906,1
skillvrp_n250_v6_s4_k0.5_7,7,9901,1
skillvrp_n250_v6_s4_k0.5_7,8,9959,1
skillvrp_n250_v6_s4_k0.5_7,9,9817,1
skillvrp_n250_v6_s4_k0.5_7,10,9866,1
skillvrp_n300_v7_s5_k1.0_8,1,11318,1
skillvrp_n300_v7_s5_k1.0_8,2,11420,1
skillvrp_n300_v7_s5_k1.0_8,3,11457,1
skillvrp_n300_v7_s5_k1.0_8,4,11051,1
skillvrp_n300_v7_s5_k1.0_8,5,11275,1
skillvrp_n300_v7_s5_k1.0_8,6,11489,1
skillvrp_n300_v7_s5_k1.0_8,7,11534,1
skillvrp_n300_v7_s5_k1.0_8,8,11499,1
skillvrp_n300_v7_s5_k1.0_8,9,11667,1
skillvrp_n300_v7_s5_k1.0_8,10,11457,1
skillvrp_n350_v8_s6_k1.5_9,1,12805,1
skillvrp_n350_v8_s6_k1.5_9,2,12473,1
skillvrp_n350_v8_s6_k1.5_9,3,12501,1
skillvrp_n350_v8_s6_k1.5_9,4,12373,1
skillvrp_n350_v8_s6_k1.5_9,5,12654,1
skillvrp_n350_v8_s6_k1.5_9,6,12733,1
skillvrp_n350_v8_s6_k1.5_9,7,12728,1
skillvrp_n350_v8_s6_k1.5_9,8,12755,1
skillvrp_n350_v8_s6_k1.5_9,9,12569,1
skillvrp_n350_v8_s6_k1.5_9,10,12823,1
skillvrp_n400_v10_s8_k2.0_10,1,13219,1
skillvrp_n400_v10_s8_k2.0_10,2,13122,1
skillvrp_n400_v10_s8_k2.0_10,3,13184,1
skillvrp_n400_v10_s8_k2.0_10,4,12971,1
skillvrp_n400_v10_s8_k2.0_10,5,13126,1
skillvrp_n400_v10_s8_k2.0_10,6,13067,1
skillvrp_n400_v10_s8_k2.0_10,7,13017,1
skillvrp_n400_v10_s8_k2.0_10,8,12953,1
skillvrp_n400_v10_s8_k2.0_10,9,12991,1
skillvrp_n400_v10_s8_k2.0_10,10,13031,1
skillvrp_n450_v11_s3_k0.0_11,1,14125,1
skillvrp_n450_v11_s3_k0.0_11,2,14246,1
skillvrp_n450_v11_s3_k0.0_11,3,14268,1
skillvrp_n450_v11_s3_k0.0_11,4,14061,1
skillvrp_n450_v11_s3_k0.0_11,5,14253,1
skillvrp_n450_v11_s3_k0.0_11,6,14332,1
skillvrp_n450_v11_s3_k0.0_11,7,14501,1
skillvrp_n450_v11_s3_k0.0_11,8,14222,1
skillvrp_n450_v11_s3_k0.0_11,9,14196,1
skillvrp_n450_v11_s3_k0.0_11,10,14104,1
skillvrp_n500_v12_s4_k0.5_12,1,17698,1
skillvrp_n500_v12_s4_k0.5_12,2,17853,1
skillvrp_n500_v12_s4_k0.5_12,3,17519,1
skillvrp_n500_v12_s4_k0.5_12,4,17867,1
skillvrp_n500_v12_s4_k0.5_12,5,17983,1
skillvrp_n500_v12_s4_k0.5_12,6,17750,1
skillvrp_n500_v12_s4_k0.5_12,7,17547,1
