iteration,elapsed_seconds,objective_value
0,0.0,19542
1,0.005766249960288405,19543
3,0.017409584019333124,19807
4,0.020751042058691382,20244
6,0.025514959008432925,20289
8,0.03513737500179559,20366
9,0.05105279199779034,20395
10,0.0558525420492515,20463
11,0.0596398749621585,20609
16,0.09660562500357628,20853
18,0.10554162506014109,20891
23,0.1210711250314489,20941
25,0.12916383403353393,21053
27,0.13409199996385723,21154
30,0.14368325006216764,21208
42,0.19671699998434633,21237
43,0.1984178340062499,21314
52,0.24506991705857217,21369
53,0.26131554204039276,21499
57,0.278205499984324,21862
61,0.2981386670144275,21935
68,0.33274283399805427,21999
69,0.3366797500057146,22207
72,0.35177599999587983,22259
73,0.353698292048648,22324
76,0.360598084051162,22363
82,0.3774361250689253,22424
87,0.3932489170692861,22577
88,0.3952575840521604,22591
92,0.4206399170216173,22594
97,0.4403274590149522,22643
100,0.46694870898500085,22693
101,0.4688173340400681,22796
108,0.5092823340091854,22884
110,0.5153746249852702,22926
117,0.5590540000703186,22996
124,0.5800100000342354,23031
126,0.5852154589956626,23131
128,0.5929950419813395,23154
144,0.6590185420354828,23157
158,0.7246117090107873,23164
161,0.7327364169759676,23243
164,0.7474492919864133,23269
167,0.7576600420288742,23334
168,0.7606000839732587,23371
179,0.8132133340695873,23433
182,0.8255662090377882,23498
191,0.856476541957818,23518
208,0.9517736249836162,23677
220,1.0329417920438573,23709
226,1.067528250045143,23759
227,1.0722942920401692,23807
229,1.0778844590531662,23866
232,1.1009993340121582,23970
233,1.1042123340303078,24011
234,1.1089449590072036,24046
237,1.1194567090133205,24106
245,1.149087249999866,24179
256,1.1863959999755025,24207
270,1.2676657090196386,24245
283,1.3338009170256555,24290
284,1.3349991670111194,24317
285,1.3372434589546174,24353
286,1.340926125063561,24427
514,2.2484892919892445,24447
522,2.299080791999586,24450
523,2.3014867920428514,24542
528,2.32072908396367,24557
536,2.3560137919848785,24562
555,2.427720083971508,24586
566,2.47137141705025,24592
569,2.479167666984722,24636
594,2.579646834055893,24639
727,3.1441838750615716,24682
728,3.1497924589784816,24718
729,3.1514326670439914,24724
753,3.292402375023812,24801
969,4.1564685420598835,24812
973,4.176006417023018,24820
987,4.220511917024851,24851
989,4.229283499997109,24864
990,4.230930667021312,24867
1159,4.874051125021651,24885
1360,5.594160874956287,24976
1361,5.598492166958749,24980
1363,5.604835334001109,25036
1382,5.678551667020656,25057
1713,6.829431083984673,25062
1714,6.832286083954386,25074
1715,6.837191584054381,25146
1901,7.568914709030651,25197
2261,8.908950958983041,25209
2403,9.455703209037893,25344
2412,9.489963292027824,25400
2945,11.42251845903229,25404
2957,11.457476792042144,25412
2958,11.462064416962676,25455
2976,11.536294208955951,25457
2979,11.54532316699624,25458
3222,12.394706125021912,25514
3223,12.40002637496218,25531
3372,12.911252291989513,25552
3538,13.53011054196395,25570
3541,13.538363334024325,25572
3840,14.506860958994366,25610
3842,14.513228959054686,25647
5290,19.59573470905889,25657
5293,19.60603404196445,25675
5300,19.63839454203844,25680
5328,19.75349112506956,25681
5341,19.80096191703342,25695
5356,19.848025667015463,25706
6040,22.237790249986574,25712
6047,22.265651584020816,25733
6458,23.718406083993614,25750
6979,25.509074624977075,25835
6983,25.520695250015706,25837
6991,25.55108237499371,25846
7000,25.57982370897662,25864
7751,28.182915208977647,25888
7922,28.77166362502612,25892
8937,32.20918279199395,25898
8948,32.24399824999273,25954
8950,32.24869454198051,25960
9072,32.66041250003036,25973
9439,33.95248020906001,26007
9440,33.95649400004186,26033
10247,36.809975374955684,26047
10311,37.028761208988726,26052
10471,37.61782891699113,26071
10516,37.781505750026554,26105
10519,37.7903979170369,26110
10532,37.829219624982215,26114
10533,37.83319825003855,26135
10801,38.716374375042506,26136
10817,38.76567779202014,26154
10830,38.81024374999106,26155
10838,38.84028574998956,26187
10840,38.84709308401216,26190
10841,38.84872454206925,26215
11869,42.330015041981824,26216
13286,47.09881479199976,26221
13437,47.59256987506524,26233
13935,49.2240790000651,26246
13938,49.23393450002186,26261
13943,49.25123150006402,26270
13945,49.25778616697062,26272
13948,49.270540500059724,26273
14337,50.54677224997431,26275
14377,50.68452779203653,26288
14379,50.69159579195548,26309
19940,69.70279104204383,26326
19945,69.71795966697391,26343
20006,69.92009629204404,26345
22834,79.35102187504526,26349
22890,79.52754270902369,26376
22892,79.53598229202908,26379
22896,79.54966083401814,26427
22910,79.6111319999909,26436
26627,91.45699570898432,26448
26761,91.87832941696979,26457
26776,91.92029875004664,26471
26870,92.19764491706155,26475
26875,92.21776654198766,26478
26930,92.40771066700108,26495
26935,92.42396641697269,26509
27021,92.68531425006222,26521
29875,102.22815700003412,26526
29877,102.23719391704071,26534
29906,102.33770887495484,26554
29992,102.62039170903154,26560
33983,115.11173458397388,26569
34591,117.099338500062,26576
34616,117.20232224999927,26579
34697,117.48534324998036,26587
34766,117.73162095900625,26589
35315,119.48779437504709,26590
35392,119.71384254202712,26604
35504,120.04411758400965,26611
35528,120.115219334024,26645
35808,120.96535316703375,26655
35879,121.17810799996369,26657
36877,124.31034729199018,26666
37187,125.27756245899945,26692
39860,133.94242650002707,26698
39917,134.14053737500217,26706
40356,135.5321989590302,26708
54093,179.63940358406398,26710
66214,223.15225341706537,26711
66678,224.63317870895844,26712
71354,239.8771316249622,26714
71733,241.15608837502077,26716
81012,271.25397162500303,26725
81230,271.96957724995445,26733
81572,273.0633140420541,26734
109151,361.9039304590551,26735
111829,370.8365113750333,26750
118928,393.8906292920001,26758
125313,414.9343763750512,26760
126100,417.4919429590227,26766
129568,429.1076922919601,26772
150057,497.7815411670599,26777
153016,507.61039862502366,26782
165681,551.0382414170308,26785
